"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"106","G07 vs G19",1,1.04928547915745,2.96450940592339,0.141406094868397,0.001,0.00607894736842105,"*"
"107","G07 vs G21",1,0.595752374395925,1.61763210820528,0.139239398626057,0.059,0.0846521739130435,""
"108","G07 vs G20",1,0.678959829859397,1.79360117153601,0.152082569645045,0.026,0.0462,"."
"109","G07 vs G15",1,0.770833744699409,2.34347693752428,0.189855496096087,0.015,0.0336407766990291,"."
"110","G07 vs G18",1,0.610510010335549,1.68083995657907,0.173625425491801,0.03,0.0509558823529412,""
"111","G07 vs G05",1,0.66359455134383,2.0400101709577,0.20318805820125,0.017,0.0357,"."
"112","G08 vs G04",1,0.554972551560061,2.74649584584774,0.154762713140936,0.014,0.032019801980198,"."
"113","G08 vs G22",1,0.59932415253919,1.85149488996075,0.270232251457077,0.085,0.114824561403509,""
"114","G08 vs G12",1,1.52629704156979,5.75825274675301,0.242368528028223,0.001,0.00607894736842105,"*"
"115","G08 vs G10",1,0.412159978308149,1.34152474824841,0.182731080293433,0.203,0.218106976744186,""
"116","G08 vs G16",1,0.788618408093746,3.42554209504815,0.222069478916258,0.004,0.0151475409836066,"."
"117","G08 vs G17",1,2.34777202917434,13.4602369224761,0.359320656469206,0.001,0.00607894736842105,"*"
"118","G08 vs G14",1,0.992389116701978,4.03607688025308,0.402156831639506,0.023,0.042504,"."
"119","G08 vs G06",1,1.03122502441158,3.86456395386198,0.391762268655474,0.018,0.0361565217391304,"."
"120","G08 vs G13",1,0.899886512408481,2.85208042571848,0.322193234647096,0.019,0.0371949152542373,"."
"121","G08 vs G19",1,0.899298069581526,2.66434136653719,0.150831628038192,0.001,0.00607894736842105,"*"
"122","G08 vs G21",1,0.457952967507443,1.34989859482086,0.161666465705123,0.189,0.208894736842105,""
"123","G08 vs G20",1,0.693616639193413,1.9598922967341,0.218740608907596,0.008,0.0222650602409639,"."
"124","G08 vs G15",1,0.606400071633885,2.1425873980184,0.234352410837526,0.019,0.0371949152542373,"."
"125","G08 vs G18",1,0.635395305048557,1.98856812979688,0.284545860162442,0.048,0.0724705882352941,""
